item_id,item,label,,,,
232628821180953000,"RT @Karen_DaviLa: @MMDA Chair was right, we can't control weather, so we need to make Metro Manila flood resilient. Must spend on anti ...",Related - but not informative,,,,
232629404185010000,"RT @jascurtissmith: Don't gising me uuuuuuuuuuuup!!! #PinoyConyoLyrics parin. hope everyone in Manila is safe, heard the flood is gettin ...",Related - but not informative,,,,
232631115448480000,Surviving in the manila flood #morefuninthephilippines http://t.co/P0DjcF5j,Related - but not informative,,,,
232690720740344000,"Praying for Philippine, may God see you through and help those affected by the floods. Amen",Related - but not informative,,,,
232705409159426000,Whats the latest on #Manila floods situation? @mmda,Related - but not informative,,,,
232706533258035000,RT @ohteenquotes: I'd rather have classes than seeing people of my country suffering and dying. #PrayForThePhilippines #rescuePH,Related - but not informative,,,,
232706738770563000,#rescuePH rescue UST Hospital! oh pls. can't imagine those patients suffering from....ugh. :(,Related - but not informative,,,,
232710165521109000,RT @ohteenquotes: I'd rather have classes than seeing people of my country suffering and dying. #PrayForThePhilippines #rescuePH,Related - but not informative,,,,
232710282940670000,RT @ABSCBNNews: RT @pcdspo: Google Spreadsheet for #RescuePH http://t.co/Anntk4Jn… | via @mlq3,Related - but not informative,,,,
232712153612820000,#PrayForThePhilippines #RescuePH Stay Safe Guys. :),Related - but not informative,,,,
232719346844176000,RT @ohteenquotes: I'd rather have classes than seeing people of my country suffering and dying. #PrayForThePhilippines #rescuePH,Related - but not informative,,,,
232737608852189000,RT: Out of control flooding in the Philipppines. #PrayForThePhilippines #rescuePH,Related - but not informative,,,,
232739651474043000,#rescueph I can not believe right away is finished! Sad.. fromthejungle http://t.co/kQ2QWzH7,Related - but not informative,,,,
232741585039790000,RT @ANCALERTS: Kalesas in Manila still trying to make a living despite floods http://t.co/iHnet7Io | via @Nikobaua,Related - but not informative,,,,
232741941568233000,"@tinbarredo you too, enjoy manila floods! wahaha! :))",Related - but not informative,,,,
232742134489416000,"RT @ELF_thoughts: Heard that floods in Manila are up to the neck, many people are in danger. Please stay safe, praying for you #PrayFort ...",Related - but not informative,,,,
232754574803468000,RT @keyrjem22: Gusto kong tumulong.  #rescuePH,Related - but not informative,,,,
232759645729604000,RT @neilhimself: Sending love and worry to the Philippines.  (WIll also send aid donation using #reliefPH info....),Related - but not informative,,,,
232768537637294000,RT @neilhimself: Sending love and worry to the Philippines.  (WIll also send aid donation using #reliefPH info....),Related - but not informative,,,,
232768722178286000,RT @neilhimself: Sending love and worry to the Philippines.  (WIll also send aid donation using #reliefPH info....),Related - but not informative,,,,
232778876592464000,@byahilo @airphilexpress Via MAnila and clark daw. But what about those who don't want to fly to manila and face the floods? Be considerate.,Related - but not informative,,,,
232780009046163000,RT please Join us as we make 6PM our time of prayer for our country. 5 minutes to go. #PrayForThePhilippines #rescuePH,Related - but not informative,,,,
232785461641355000,RT @TheKenNarvato: We should not be just good Samaritans but we need to be Better Samaritans. #rescuePH #PrayForThePhilippines,Related - but not informative,,,,
232789915996410000,RT @chaikafrias: #rescuePH #PrayForThePhilipppines,Related - but not informative,,,,
232790587110212000,RT @ogiediaz: Saludo kami sa mga #rescuePH team at sa mga volunteers. Ndi pa sila kumakain pero deadma basta makatulong. #bayanihan,Related - but not informative,,,,
232792877200183000,"RT @heywhereyou: Hi @Twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this unt ...",Related - but not informative,,,,
232793032364286000,Stay Safe everyone! #floodsph,Related - but not informative,,,,
232793565057659000,"RT @heywhereyou: Hi @Twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this unt ...",Related - but not informative,,,,
232796425577173000,RT @monskeee: Serbisyong Publiko. Saludo ako sa mga pulis na gaya nila. #rescueph #floodsph Stay Safe Filipinos @krisaQUInoSTD http://t. ...,Related - but not informative,,,,
232798417863205000,RT @lexifernandez95: Have faith. #rescuePH #reliefPH #PrayerForThePhilippines,Related - but not informative,,,,
232799340610077000,RT @MgaKasabihan: #FLOODSph Fact: Genesis 8:7-12 is about Noah's Ark.. Today is 8-7-12.,Related - but not informative,,,,
232799713915699000,RT @MgaKasabihan: #FLOODSph Fact: Genesis 8:7-12 is about Noah's Ark.. Today is 8-7-12.,Related - but not informative,,,,
232800825376928000,RT @garysnowpatrol: Just seen the floods in Manila on TV. Sweet Jesus. I sincerely hope you and your loved ones are safe. Didn't realize ...,Related - but not informative,,,,
232804923216101000,"#rescueph Live TV on your mobile, http://t.co/tmq4GPYL http://t.co/t1w6szIL fufu",Related - but not informative,,,,
232806412198224000,Does tweeting the contact details w hashtag #RescuePH actually help? Is there a number I can text to report people in danger?,Related - but not informative,,,,
232809436303983000,Keep Calm and PACK YOUR THINGS!! #rescuePH #PrayforthePhilippines,Related - but not informative,,,,
232810652647948000,#floodsph Is the most helpful? http://t.co/GJE5mlQW,Related - but not informative,,,,
232813211194360000,"RT @1515maine: Hi @twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this until ...",Related - but not informative,,,,
232814964375683000,"RT @callmeharryyy: @TomDaley1994 #rescuePH rescue me, i'm drowning with all these daley feels",Related - but not informative,,,,
232815400616858000,#RescuePH #FloodsPH Keep safe Filipinos. And trust God. ♥,Related - but not informative,,,,
232819271938499000,#rescuePH God Bless the Philippines!,Related - but not informative,,,,
232819775280124000,RT @NiallsQueeeen: BAHA KA LANG! PILIPINO AKO! #rescuePH #PrayForPhilippines   :')) xx,Related - but not informative,,,,
232820098220577000,"RT @Solid_ABSCBN: Don't Panic to this Genesis 8:7-12 God promised to never do that again. THINK POSITIVE, Be POSITIVE.! Pinoys!! #rescuePH",Related - but not informative,,,,
232820962238816000,#reliefph At which we love God for no reason do Him a favor you do our selves an ideal favor:) http://t.co/p73fylOy,Related - but not informative,,,,
232823596278497000,RT @CairaLeAwesome: Somehow naiiyak ako sa Pilipinas. :( #rescuePH MYGHAD. Kawawa yung mga taong wala ng bahay. #PrayForThePhilippines,Related - but not informative,,,,
232824816833556000,#rescuePH #PrayForThePhilippines God bless any affected.,Related - but not informative,,,,
232825177505944000,RT @2NE1_Cambodia: We're praying for the Philippine!! No more heavy rain! No more flood! PLEASE Stay Safe!!! God Bless the... http://t.c ...,Related - but not informative,,,,
232829770306552000,I didn't know the situation in Manila has gotten worse. Let's all help our fellow men. Let's pray for all the people affected. #rescuePH,Related - but not informative,,,,
232831112454484000,#rescueph Live TV on your phone F.R.E.E http://t.co/zRf8XXBk http://t.co/7E82FAWZ fufu,Related - but not informative,,,,
232831414469525000,"RT @Solid_ABSCBN: Don't Panic to this Genesis 8:7-12 God promised to never do that again. THINK POSITIVE, Be POSITIVE.! Pinoys!! #rescuePH",Related - but not informative,,,,
232831787762586000,Thank you so much! RT“@neilhimself: Sending love and worry to the Philippines.  (WIll also send aid donation using #reliefPH info....)”,Related - but not informative,,,,
232833893286437000,#rescueph Free 1000 tv channels on your phone? http://t.co/BCLkG6vx http://t.co/jL5GO9P6 fufu,Related - but not informative,,,,
232836812538782000,"#rescueph Live TV on your mobile, http://t.co/n9nepjTw http://t.co/sYfRqPIO fufu",Related - but not informative,,,,
232839433945223000,"RT @heywhereyou: Hi @Twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this unt ...",Related - but not informative,,,,
232840310592508000,"RT @Solid_ABSCBN: Don't Panic to this Genesis 8:7-12 God promised to never do that again. THINK POSITIVE, Be POSITIVE.! Pinoys!! #rescuePH",Related - but not informative,,,,
232841006830199000,RT @kimpoyfeliciano: Thinking of Philippines and my fellow Filipinos. Trust God! Everything will be fine. Stay safe po! #RescuePH :(,Related - but not informative,,,,
232843166884168000,"RT @FreelanceWJ: Hi @twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this unt ...",Related - but not informative,,,,
232850498556948000,RT @kimpoyfeliciano: Thinking of Philippines and my fellow Filipinos. Trust God! Everything will be fine. Stay safe po! #RescuePH :(,Related - but not informative,,,,
232864230708236000,"RT @Solid_ABSCBN: Don't Panic to this Genesis 8:7-12 God promised to never do that again. THINK POSITIVE, Be POSITIVE.! Pinoys!! #rescuePH",Related - but not informative,,,,
232866327847637000,Help those in need please   #RescuePH #PrayForThePhilippines,Related - but not informative,,,,
232867049259540000,#rescueph Did this truly occur?! http://t.co/givsWldn,Related - but not informative,,,,
232874166989226000,"“@Solid_ABSCBN: Don't Panic to this Genesis 8:7-12 God promised to never do that again. THINK POSITIVE, Be POSITIVE.! Pinoys!! #rescuePH”",Related - but not informative,,,,
232875601453793000,http://t.co/KVGis3hh #reliefPH #rescuePH #prayforthePhilippines,Related - but not informative,,,,
232878705234551000,"RT @Solid_ABSCBN: Don't Panic to this Genesis 8:7-12 God promised to never do that again. THINK POSITIVE, Be POSITIVE.! Pinoys!! #rescuePH",Related - but not informative,,,,
232888893186376000,I cant sleep with all this news! Rain rain go away! Let the flood subside! #floodsph #reliefph #rescuePH #PrayForThePhilippines #praying #,Related - but not informative,,,,
232892567409287000,Keep Safe #rescuePH #reliefPH,Related - but not informative,,,,
232894358356128000,No time to rest. A lot of our kababayans are still out there. We have plenty of time to rest when this nightmare is over. #rescuePH,Related - but not informative,,,,
232902025581572000,"Don't tell God how strong the typhoon is, tell the typhoon how big your God is. Genesis 8:7-12 #rescuePH #Philippines””",Related - but not informative,,,,
232937089963024000,RT @xocoleyf: my heart goes out to all of the families who are dealing with the floods in Manila right now. &lt,Sympathy and support,Related - but not informative,,,
232939950440608000,How many wake up calls do we still need just to learn from our past. Godbless RP. #PrayForThePhilippines #RescuePH #ReliefPH,Related - but not informative,,,,
232942701904024000,"To all OFW,let's volt in! Share blessings thos in need esp ths time &amp; pray for Phils..#PrayforthePhilippines #RescuePH @IAmDerekRamsay",Related - but not informative,,,,
232951015014543000,#ReliefPH WTF!!! Are these claims legitimate?  http://t.co/SPeXzc7P,Related - but not informative,,,,
232963962835182000,"Good Morning, Philippines! Godbless! #rescuePH",Related - but not informative,,,,
232980786184344000,Good morning. Please #PrayForPhilippines #ReliefPH #philippines . God bless!,Related - but not informative,,,,
233014999147225000,"Don't worry, our life guard walks on water. #prayerworks #PrayforthePhilippines #reliefPH",Related - but not informative,,,,
233020678226469000,"8-7-12 manila was flooded, genesis 8:7-12 could it be signs of times? #genesis #flood #manila #NCRflood #habagat #philippines",Related - but not informative,,,,
233024914473509000,"RT @iamjayduran88: HANGIN KA LANG, PILIPINO KAMI. KEEP THE FAITH! =)))  #bangonPilipinas #reliefPH  #RescuePH #floodsPH",Related - but not informative,,,,
233030560010867000,RT @maulumba: I want to help out #RescuePH,Related - but not informative,,,,
233034200645763000,This Is The Moment I really Love @Dominiqueantm which had a great Heart For Filipinos | She Is A Total Package Of Modern Woman ♥♥| #reliefPH,Related - but not informative,,,,
233037983907983000,"RT @LolaSaturnina: Sabi nga nila: work for a cause, not for applause. #reliefPH",Related - but not informative,,,,
233048037663056000,Bagyo ka lang. Baha ka lang. PINOY AKO! ~Vice Ganda #bangonPilipinas #PrayforthePhilippines #rescuePH,Related - but not informative,,,,
233048167678108000,The show goes on! Skies clearing over Manila/our prayers go out to all the families affected by floods. God willing we'll see u 2night!,Related - but not informative,,,,
233048394178896000,"Hello Mr. Sun, Keep Safe, Philippines, Filipinos, #bangonPilipinas #PrayForThePhilippines #reliefPH",Related - but not informative,,,,
233062080184480000,"Dear, #rescuePH rescuers. We thank you for your fast respond and we appreciate much of your help though you guys have families too. Thanks",Related - but not informative,,,,
233069915173687000,"Our God is greater, our God is stronger! #RescuePH",Related - but not informative,,,,
233077179716608000,I just appreciate how we can laugh our hearts out every now and then despite what is happening amongst us. :) #bangonPilipinas #reliefPH,Related - but not informative,,,,
233080744849859000,@thatguySLATER: The flood will never drown our spirits. Proud to be Pinoy. #RescuePH,Related - but not informative,,,,
233083198542844000,RT @BruroMars: #bangonPilipinas #reliefPH Keep Safe Filipinos! Thanks Mr. Sun! Pray for the Philippines!,Related - but not informative,,,,
233087061484270000,"RT @catedeguzman: Still hoping that some famous person will donate thousands of things to Assumption Antipolo, lol. #rescuePH",Related - but not informative,,,,
233091578749657000,Team Calayan @CalayanMD to the rescue #ReliefPH,Related - but not informative,,,,
233098088292700000,RT @thatguySLATER: The flood will never drown our spirits. Proud to be Pinoy. #RescuePH,Related - but not informative,,,,
233099053003571000,Manila floods sweep away peace of mind for UAE Filipinos http://t.co/MaNO4KGU #UAE,Related - but not informative,,,,
233101556994695000,"#ReliefPH Calling all Filos around the globe, let's ALL  say a 2mins prayer/silence tomorrow Thur 5pm Phils time.",Related - but not informative,,,,
233108087530193000,RT @BruroMars: #bangonPilipinas #reliefPH Keep Safe Filipinos! Thanks Mr. Sun! Pray for the Philippines!,Related - but not informative,,,,
233108775370899000,gonna sort out stuff to donate! #ReliefPH,Related - but not informative,,,,
233111380037890000,RT @ANNphiboly: everything will be fine #pray #bangonPILIPINAS #Mr.Sun #TheFilipinoSpirit #rescuePH,Related - but not informative,,,,
233121861637136000,Goodafternoon. Keep safe guys! #rescuePH #reliefPH,Related - but not informative,,,,
233132947144843000,RT @epalkabro: The Filipino Spirit is there. Keep the FAITH and TRUST GOD. #reliefPH #rescuePH #bangonPilipinas,Related - but not informative,,,,
233149263020962000,"RT @LolaSaturnina: Sabi nga nila: work for a cause, not for applause. #reliefPH",Related - but not informative,,,,
233152069014540000,RT @iiamBIBOY: Afternoon still raining? :( #reliefPH #bangonPilipinas #PrayForThePhilippines,Related - but not informative,,,,
233153914487321000,Snow in Africa. Drought in America. Flood in Manila. Volcanic eruption in New Zealand. Ohmyy. :o,Related - but not informative,,,,
233154220663132000,"RT @ItsShowtime: Snow in Africa. Drought in America. Flood in Manila. Volcanic eruption in New Zealand. Seriously, What's next? :(",Related - but not informative,,,,
233155093099319000,Does anyone have list of Evacuation Centers of flood victims in Metro Manila &amp,Other Useful Information,Related - but not informative,,,
233157597077852000,"RT @xKiel_: Snow in Africa, Drought in America, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Mother E ...",Related - but not informative,,,,
233163892753306000,"RT @Godstagram: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233164647732240000,RT @_HannahDaniella: RT Drought in America. Earthquake in California. Flood in Manila. Snow in Africa. Volcanic eruption in New Zealand ...,Related - but not informative,,,,
233165184569602000,RT @BruroMars: #bangonPilipinas #reliefPH Keep Safe Filipinos! Thanks Mr. Sun! Pray for the Philippines!,Related - but not informative,,,,
233167218840592000,"RT @Godstagram: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233168007336182000,"RT @ItsShowtime: Snow in Africa. Drought in America. Flood in Manila. Volcanic eruption in New Zealand. Seriously, What's next? :(",Related - but not informative,,,,
233168087048929000,"RT @Godstagram: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233168099606684000,"RT @Godstagram: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233171278901686000,RT @OhVinSantos: Saludo ako sa mga Rescuer. Mas importante sa kanila makasagip ng tao kahit walang pahinga. ☺ #RescuePH,Related - but not informative,,,,
233171723514700000,"RT @Godstagram: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233173829025944000,"RT @kattvaldez: Intense drought in America, flood in Manila, snow in Africa, earthquake in Cali, volcano eruption in NZ!  #prayfortheWorld",Related - but not informative,,,,
233174890210005000,"RT @Godstagram: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233175175405912000,"RT @Godstagram: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233181932429664000,Man for all Men! :) Here we go. #CSAReliefOps #ReliefPH http://t.co/nysSNNHq,Related - but not informative,,,,
233184088310305000,RT @krisaQUInoSTD: @monskeee: PBB Dogs. Walang pinipiling lugar at panahon. HAHAHA. #floodsPH   @krisaQUInoSTD http://t.co/yQfVuALi -H ...,Related - but not informative,,,,
233192091029742000,"RT @PatamaSayo: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233194230154146000,"RT @BruroMars: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust God ...",Related - but not informative,,,,
233215281332376000,"RT @Godstagram: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust Go ...",Related - but not informative,,,,
233216099246809000,"If you give canned goods, give can openers. #ReliefPH",Related - but not informative,,,,
233239780287209000,Rizal needs your help! Keep spreading the word! #ReliefPH #BangonPilipinas #PrayforthePhilippines http://t.co/s2xEPGkw,Related - but not informative,,,,
233240442991419000,@fosterthepeople do you know that were sufferin from floods here in manila,Related - but not informative,,,,
233279991054479000,RT @tonyocruz: #TulongKabataan Advisory: Press the right buttons #ReliefPH  http://t.co/80seIB4X,Related - but not informative,,,,
233294348169646000,Keep calm.. Think and act about more useful especially this kind of phenomenon.. #reliefph,Related - but not informative,,,,
233295199634354000,"Dear followers who are not in the Philippines, please excuse my flooding. Trying to do what I can to help my neighbors. :) #RescuePH",Related - but not informative,,,,
233306926912520000,The Filipino spirit mas malakas pa kesa hagupit ni habagat #rescuePH,Related - but not informative,,,,
233369229070565000,RT @BruroMars: #bangonPilipinas #reliefPH Keep Safe Filipinos! Thanks Mr. Sun! Pray for the Philippines!,Related - but not informative,,,,
233370042761376000,It's just sad how my posting in #rescuePH never got a reply from people who are volunteering. #hoping my friend is okay.,Related - but not informative,,,,
233376246162137000,I'm proud of our president!!! #pnoy #reliefPH #PrayForThePhilippines  http://t.co/birg4E4I,Related - but not informative,,,,
233389747609928000,#ReliefPH  For the Philippines,Related - but not informative,,,,
233427404079628000,"RT @BruroMars: Snow in Africa, Drought in USA, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Trust God ...",Related - but not informative,,,,
233434786037912000,RT @Joweeel: A prayer for all the people in Metro Manila #flood,Related - but not informative,,,,
233477844787941000,A picture paints a thousand words. What a shot!☺ RT @tranQuildepths: #ust #flood #habagat  http://t.co/SS9toqhY,Related - but not informative,,,,
233495007871525000,"my mom &amp; the rest of our fil-italo community KABATI are goin to help too just like what they did during ONDOY. Indeed, a bayanihan #rescuePH",Related - but not informative,,,,
233500162658546000,In The Furnace --&gt,Sympathy and support,Related - but not informative,,,
233550926349230000,@jeroxie I'm kinda sad &amp,Other Useful Information,Related - but not informative,,,
233586905084727000,"Clear skies reveal messy scope of Philippine flood: MANILA, Philippines     (AP) -- Thousands of Filipinos shove... http://t.co/1Feg64jz",Related - but not informative,,,,
233592848409301000,Just got home from a relief goods operation #holcimPhils #prayforphilippines #floodph,Related - but not informative,,,,
233787170505249000,RT @imcalledtoffee: @QueenLaTinuh @maronnecruz cookies for a cause #ReliefPH :) try out our cookies in tomorrow's #13musicalblueREP @_bl ...,Related - but not informative,,,,
234233763234710000,"Done marikina,on our way to Valenzuela Bulacan with #teamCalayan #RMQ77FOUNDATION #reliefPH",Related - but not informative,,,,
234384800113365000,Sana hindi na maulit ang sakuna ni #habagat #reliefPH #PrayForThePhilippines,Related - but not informative,,,,
234734055613166000,"Join us today for special mass, followed by ecumenical prayer service for Philippine flood victims - 5p St.Genevieve, Panorama City",Related - but not informative,,,,
235382264312246000,Seeds of hope amidst Philippine floods: Rice that can survive underwater http://t.co/SNeN25Rb,Related - but not informative,,,,
230634706436227000,Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/gnhkYRS6 #Philippines #national,Related and informative,,,,
230692092911964000,RT @gmanews: Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/I4Fjtg95,Related and informative,,,,
230882841498628000,Philippine flood fatalities hit 23 http://t.co/1aukg7RA,Related and informative,,,,
