Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
378011169883038000,"RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube",Media,Sympathy and support,Related - but not informative
378038458024866000,Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,Outsiders,Sympathy and support,Related - but not informative
378044472661000000,Who's tryin to tube on boulder creek right now? #boulderflood,Outsiders,Other Useful Information,Related - but not informative
378047710659502000,"RT @elaine: With the #Boulderflood, remember to check and trust your sources before you Retweet. Don't go around spreading false informatio…",Outsiders,Caution and advice,Related - but not informative
378048146850329000,"Pray for Boulder, Colorado #boulderflood",Outsiders,Sympathy and support,Related - but not informative
378049119924675000,RT @ShoutSteph: And I thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1LuXPp…,Eyewitness,Other Useful Information,Related - but not informative
378055482704814000,Damnit @twitter take care of the spammers using #BoulderFlood,Outsiders,Other Useful Information,Related - but not informative
378059840569881000,HOLY SHIT. Boulder creek water volume for the last year. Be careful. #boulder #boulderflood http://t.co/TfBOR1iUfF http://t.co/2qEYyqHbwk,Outsiders,Caution and advice,Related - but not informative
378081462223778000,"S/O to @CUBoulder, @dailycamera, and @bouldercounty for being on their game tonight. Thanks for the updates and alerts! #BoulderFlood",Outsiders,Caution and advice,Related - but not informative
378084154937586000,RT @Kacyyy: @9NEWS our new front yard pond #boulderflood http://t.co/Lg7vETN7Pd,Eyewitness,Other Useful Information,Related - but not informative
378086243705184000,RT @Muffissness: RT @LouiseMase Can't believe a few hours ago it was just a bit of heavy rain.. Escalated ridiculously quickly #boulderflood,Media,Affected individuals,Related - but not informative
378101930414711000,RT @JeremyHubbard: Another great pic of #Boulderflood from Instagram. #Boulder @KDVR brandash's photo http://t.co/Ng3nnDaDpg,Outsiders,Other Useful Information,Related - but not informative
378109257842827000,"RT @nicollefagan: Rivalries aside, keep those affected by the #BoulderFlood in your thoughts and prayers. Hopefully no more lives are taken…",Outsiders,Sympathy and support,Related - but not informative
378137695240733000,"@_fl0ss: Boulder, Colorado feels God's wrath! Rejoice, for the rapture cometh. Let all #atheist sodomites drown! #boulderflood #cowx Harsh",Outsiders,Not applicable,Related - but not informative
378143550510088000,I'll show the doppler radar from Boulder Colorado in just a minute...major flooding...and bridge washed away.  Amazing live pictures.,Eyewitness,Other Useful Information,Related - but not informative
378164870157722000,Yousa punk bitch if you don't know about Boulder. This flood don't know what it's dealin' wit! #boulderflood,Outsiders,Sympathy and support,Related - but not informative
378171362936103000,@MattMakens247Wx @skywarn #coflood #weather #colorado #aurora crazy flooding http://t.co/5Kajmr3Rne,Outsiders,Other Useful Information,Related - but not informative
378178619048088000,RT @RGIII: Please pray my family in Colorado and all others impacted by the #boulderflood,Eyewitness,Sympathy and support,Related - but not informative
378178661020496000,"RT @roundpegg: Forget biking to work, today in #Boulder we could have kayaked. #boulderflood http://t.co/mMS4NkLgoI",Media,Other Useful Information,Related - but not informative
378183530599432000,RT @RGIII: Please pray my family in Colorado and all others impacted by the #boulderflood,Eyewitness,Sympathy and support,Related - but not informative
378183627051237000,Stay safe everyone! #boulderflood,Outsiders,Sympathy and support,Related - but not informative
378184491111842000,"RT @EvanKerns: If your bored, check out the trend #boulderflood, some crazy pictures.",Outsiders,Other Useful Information,Related - but not informative
378193936646304000,RT @RGIII: Please pray my family in Colorado and all others impacted by the #boulderflood,Eyewitness,Sympathy and support,Related - but not informative
378195434033783000,#boulder I hope you're okay. #boulderflood,Outsiders,Sympathy and support,Related - but not informative
378195668898021000,I hope no weed plants were damaged. #boulderflood,Outsiders,Other Useful Information,Related - but not informative
378197732508185000,#BoulderFlood is what Puddle of Mudd should've been named,Outsiders,Other Useful Information,Related - but not informative
378201062772982000,RT @MikeNelson247: 2:30 AM Mike &amp; Anne still on the air! #BoulderFlood #7News #cowx #Denver http://t.co/qO4E8QgD6d,Media,Other Useful Information,Related - but not informative
378204040762364000,RT @RGIII: Please pray my family in Colorado and all others impacted by the #boulderflood,Eyewitness,Sympathy and support,Related - but not informative
378204820903330000,RT @303GirlProblems: We hope everyone is staying safe!! #BoulderFlood #PrayForColorado,Outsiders,Sympathy and support,Related - but not informative
378216451670172000,"Everyone, be careful http://t.co/05OiHA3bLF #boulderflood",Outsiders,Caution and advice,Related - but not informative
378222998995882000,RT @ryanlanclos: Monitor #boulderflood #COwx on #Esri Disaster Response Program public information map http://t.co/ThLO0H20OG,NGOs,Other Useful Information,Related - but not informative
379119284019941000,Prayers going out to everyone who's getting affected by the Colorado flooding. I have a friend who is VERY close to the flooding.,Outsiders,Sympathy and support,Related - but not informative
379120898835350000,Everybody Keep @DJWhizlam &amp;The Residents Of Colorado In Your Prayers! The Weather There Is Crazy &amp; It has Me VERY Concerned! #ColoradoFlood,Outsiders,Sympathy and support,Related - but not informative
379140385554964000,Pray for the certain parts in Colorado that are affected by the #coflood,Outsiders,Sympathy and support,Related - but not informative
379158932788228000,RT @jennyk9923: Colorado floods http://t.co/apYzc5cFHJ,Media,Other Useful Information,Related - but not informative
379174413935317000,"Wow, Ms Bennett just claimed Colorado flooding down to climate change #Murnaghan",Outsiders,Other Useful Information,Related - but not informative
379228814070407000,Waiting to hear from some of my family who live outside of #Boulder #BoulderFlood  in Gol Hill,Eyewitness,Other Useful Information,Related - but not informative
379242374263996000,My heart &amp; prayers go out to all the people in #Colorado &amp; to any1 who has friends or family affected by the #coloradoflood,Outsiders,Sympathy and support,Related - but not informative
379266235629728000,"RT @bylindsayhjones: As we get ready for football, let's keep those struggling to recover from the Colorado floods in our thoughts.",Outsiders,Sympathy and support,Related - but not informative
379276767556403000,Here we go again with the rain. #boulderflood http://t.co/TInMWSAnku,Outsiders,Sympathy and support,Related - but not informative
379281997836739000,"RT @RemaxRealtor: Skies are absolutely opening up again in Arvada and Broomfield.. Pouring rain, not good. #coflood",Eyewitness,Other Useful Information,Related - but not informative
379287207187460000,RT @BoulderFlood: Please pardon the inconvenience of my incontinence. I tried to hold it in but every hundred years or so... #boulderflood,Outsiders,Not applicable,Related - but not informative
379289077826073000,I have no food and no way to get food #boulderflood,Eyewitness,Affected individuals,Related - but not informative
379302940000793000,RT @Calgonaway: My prayers go out to all the flooding victims in Colorado right now.,Outsiders,Sympathy and support,Related - but not informative
379314377876189000,"RT @W00PIGS000IE: BREAKING:  Experts have determined Colorado Flooding was caused by tears of Badger fans, FEMA is sending trucks loaded w/…",Outsiders,Other Useful Information,Related - but not informative
379315556479807000,"RT @Richard_H: Just reading about the floods in Colorado - we've spent a fair bit of time there over the years, hope it stops raining soon …",Outsiders,Sympathy and support,Related - but not informative
379347017949925000,RT @Muffissness: DONATE BY TEXT TO HELP #COLORADO #FLOOD VICTIMS. MT @9NEWS Colorado #floods: How you can help http://t.co/NBtzFvicNb #COFl…,Media,Donations and volunteering,Related - but not informative
379363098915647000,Another #CoFlood today #ugh #omg I wish this #weather get nice tomorrow,Outsiders,Sympathy and support,Related - but not informative
379367024784204000,"On the bright side though, the apartment has never been cleaner #boulderflood",Eyewitness,Not applicable,Related - but not informative
379370296337113000,this has been an emotionally exhausting last 4 days #boulderflood,Eyewitness,Other Useful Information,Related - but not informative
379370464121876000,RT @garretdoll: I'm sad - @cabelas #thornton #colorado #flood #coloradoflood #whollstoptherain http://t.co/K8OArwnbT5,Outsiders,Sympathy and support,Related - but not informative
379375786681049000,@JZ_Blue Thanks for the Love Bro. I'll be fine however many are not and our best wishes and prayers go out to them all. #COFlood,Eyewitness,Sympathy and support,Related - but not informative
379379666412249000,"Someone needs to tell NBC they don't need to be camped in front of my.apartment still, as they.have been for 3 days #boulderflood #headsup",Outsiders,Other Useful Information,Related - but not informative
379388977775514000,Amen. #boulderflood #hope #love http://t.co/qhfG21EXXT,Outsiders,Sympathy and support,Related - but not informative
379388998742843000,Concerned family and friends use social media to spread word about #BoulderFlood unaccounted for: There are re... http://t.co/0o8YmosQ2Z,Outsiders,Affected individuals,Related - but not informative
379393608278737000,"@TheStalwart @PIMCO I live in Boulder, Colorado.  This is trivia compared to what we're dealing with here.  #BoulderFlood",Eyewitness,Other Useful Information,Related - but not informative
379399283163664000,Interesting holiday experience: buying bottled water in Colorado because maybe the tap water is contaminated by the enormous floods.,Eyewitness,Affected individuals,Related - but not informative
379428379050521000,Floods Transform Colorado's 'Gore-Tex Vortex',Media,Infrastructure and utilities,Related - but not informative
379438298587882000,"Good night all, keeping #boulderflood victims in my prayers. Going to help send supplies there and suggest if you're able to do the same.",Outsiders,Sympathy and support,Related - but not informative
379439045173994000,#PrayForColorado #ColoradoFlood http://t.co/Vgar2yLngm,Outsiders,Sympathy and support,Related - but not informative
379504107213849000,RT @JessMyers95: I seriously can't believe the images I'm seeing from the flooding in Colorado #staysafe,Outsiders,Sympathy and support,Related - but not informative
