Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
368676146541371000,Fuck ayoko ng baha. Paano ako sa Manila gdi purnada ang gala HAHAHA,Eyewitness,Not applicable,Related - but not informative
369065189200511000,Fvck baha na daw sa manila -.- buti di ako umuwi sa dorm :)),Outsiders,Caution and advice,Related - but not informative
369067739320554000,Sana walang pasok bukas. :&lt; FLOOD DAW SA METRO MANILA. Sabi ni PAG-ASA.,Outsiders,Sympathy and support,Related - but not informative
369071744893481000,"@MEJSB @DearAyaaa Hindi masyado, Mandaluyongers ako. Haha. Sa manila, baha na. Hindi pa nagrereply si tito Erap kung isususpend niya.",Outsiders,Not applicable,Related - but not informative
369088555659702000,@CentroEscolarU may pasok po ba bukas ceu manila? baha na po sa amin eh :((((((,Eyewitness,Not applicable,Related - but not informative
369092896755962000,@lagorospe : Sino si #Maring?,Outsiders,Not applicable,Related - but not informative
369093228114358000,RT @ShutangInaBeks: Yung eksenang i-charge na din ng bongga lahat ng important gadgets at appliances. Be vigilant and be alert. #RescuePh #…,Eyewitness,Sympathy and support,Related - but not informative
369093806924112000,"Buti pa sa Metro Manila, wala nang pasok bukas. Pero umaariba na si baha. Keep safe everyone!",Eyewitness,Sympathy and support,Related - but not informative
369093823701344000,Enzo: Tara lakarin natin hanggang San Juan. Bili tayo ng BOTA. Me: Hanggang bewang na yan. Anong use ng BOTA? #MaringPH #stranded,Eyewitness,Not applicable,Related - but not informative
369095400759636000,klase nagsuspend na! pano naman kmeng mgaempleyado? dadaanan dinnmn namin angmga dadaanan ng mga estudyante a.hehehe! #nowork #maring,Eyewitness,Not applicable,Related - but not informative
369098366161928000,"RT @ShutangInaBeks: Yung eksenang walang tigil ang ulan, mas mabuting maging handa.  #RescuePH #FloodsPH #GetReadyPinas http://t.co/dWz7IRE…",Outsiders,Not applicable,Related - but not informative
369121317393424000,hinayupak na ulan yan ayaw pa tumigil!!! shoooooo! #MaringPH,Eyewitness,Sympathy and support,Related - but not informative
369124328891089000,"#Habagat tama na.. #baha na samen.. LORD, patigilin mo na ulan..",Eyewitness,Not applicable,Related - but not informative
369139034133524000,Can't sleep because of this rain #MaringPH #ughh,Eyewitness,Sympathy and support,Related - but not informative
369171409945113000,"with all the pork barrel given, why are we having all this flood all over Metro Manila right now? Exempted ba kayo sa judgements, politikos",Eyewitness,Not applicable,Related - but not informative
369183145599332000,@CheckLit: Good night everyone. Please don't go outside unless absolutely necessary. Stay safe and updated on #MaringPH.,Outsiders,Sympathy and support,Related - but not informative
369190234002432000,RT @daffymayj: This rain must be traumatic for the Ondoy victims.  Let's all pray for the best but be ready for the worst. #MaringPH,Outsiders,Sympathy and support,Related - but not informative
369192163357118000,@jrcabio nyeeh im in manila now. Idk if baha dun banda,Eyewitness,Not applicable,Related - but not informative
369222748234465000,BE SAFE AND PRAY GUYS! ✌ #MaringPH,Outsiders,Sympathy and support,Related - but not informative
369225717814272000,"Kahit 2 hours lang tulog ko, hindi na ko matutulog. Baka kasi mamaya, nasa 1st floor na yung baha. Tama na Bagyong #MaringPH :(",Eyewitness,Other Useful Information,Related - but not informative
369236564284420000,Di ako papasok today. I cannot risk my safety. Damn you #MaringPH,Eyewitness,Other Useful Information,Related - but not informative
369248488665526000,Here at vito cruz...infront of my condo... #floodPH http://t.co/Nafsj9yC71,Eyewitness,Affected individuals,Related - but not informative
369259880403571000,#keepsafe #infoph #floodph #walangpasok #batalngangmasaya #leptospirosis http://t.co/NSvJA2xdcF,Outsiders,Sympathy and support,Related - but not informative
369260241105326000,"In times like this, people should know how to follow protocol for rescue purposes. @rapplerdotcom #MaringPH",Media,Caution and advice,Related - but not informative
369265161011356000,Keep safe everyone! #maringPH Pray to God that the rain would stop.,Outsiders,Sympathy and support,Related - but not informative
369271158878634000,@dadz18 pumasok ka ba? maski di tau babahain ganun talaga nag-alala tau para sa iba :(  #maringPH    #heavyrains,Outsiders,Sympathy and support,Related - but not informative
369275307041100000,"Manila is flooding .. And im here saying, where the hell is the flood waters? Hahaha jk #staysafe",Outsiders,Sympathy and support,Related - but not informative
