Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
291853232538538000,"RT @AdmireAriana: Heat wave in Australia. Flooding in Jakarta, Indonesia. The world is going wrong.",Outsiders,Other Useful Information,Related - but not informative
293071229055799000,VIDEO - A world of contrasts. We freeze whilst Australia swelters &amp; is threatened by flash floods: http://t.co/JPSx1mLv #weather #geography,Outsiders,Affected individuals,Related - but not informative
293961394578129000,PLEASE be patient &amp; drive carefully - it's better to arrive home from work a little late today than not make it at all. #bigwet #cairns,Outsiders,Caution and advice,Related - but not informative
294162075255726000,"Weather in Australia is stupid! Heat wave and fires in one place, flooding in another and heavy rain in another!",Outsiders,Other Useful Information,Related - but not informative
294603387343892000,Ok there's huge flooding in Qld??! I'm only hearing this via twitter. Next stop - ABC News,Outsiders,Other Useful Information,Related - but not informative
294626745422864000,@PrinceofSydney floods in queensland? I think I heard that somewhere today. Hope Ʊ r good?,Outsiders,Caution and advice,Related - but not informative
294629744337629000,RT @autALERT: #QLDFLOOD #queensland Premier Campbell Newman: ** PARENTS REMINDED TO KEEP CHILDREN AWAY FROM CREEKS and #STORM WATER DRAI ...,Media,Caution and advice,Related - but not informative
294686245781647000,i wonder if queensland is going to have another one of those times where it floods for a whole week before school starts,Outsiders,Other Useful Information,Related - but not informative
294716738371744000,Wow! So much water on the roads #bigwet,Eyewitness,Other Useful Information,Related - but not informative
294752738095555000,can we please just have one nice Australia Day. Past two years were floods and now cyclone warning yay -.-,Outsiders,Not applicable,Related - but not informative
294767623667855000,Left it too late to build an Ark. #Bigwet,Eyewitness,Other Useful Information,Related - but not informative
294949572579586000,Fires / floods / cyclones - Happy 'Australia Day' Aussies.,Outsiders,Other Useful Information,Related - but not informative
294949673251271000,RT @benwillbond: To all you guys down under. Happy Australia Day! Hearing some terrible news of floods and fires so sending best wishes.,Outsiders,Sympathy and support,Related - but not informative
295024369598607000,RT @GloomyMushroom: Wow a mini tornado in Queensland and flooding. Can that now be declared as the unluckiest state in Australia now?,Eyewitness,Other Useful Information,Related - but not informative
295039045497655000,@ABCFarNorth why do the ABC presenters continually refer to rain fall using inches? How long has Aust. been metric? Catch up time!#bigwet,Media,Not applicable,Related - but not informative
295061992513880000,RT @cycloneupdate: Attention Media. STOP referring to Tornadoes as Mini they either ARE a Tornado or they ARE NOT a Tornado. #bigwet # ...,Eyewitness,Other Useful Information,Related - but not informative
295088479543648000,Amazed &amp; shocked at flood images from home on SM. v relieved @jeanieparadise seems to have been spared tornadoes at her place too.#qldflood,Outsiders,Affected individuals,Related - but not informative
295130586153095000,Come on ex tc Oswald show us what you've got. Strange on/off winds through the house with the windows all shut! #bigwet #tornado,Eyewitness,Other Useful Information,Related - but not informative
295284248699621000,Where is flooded today? #bigwet,Outsiders,Other Useful Information,Related - but not informative
295288770138370000,A shout-out to our emergency services for their amazing efforts so far. QLD loves you! @QPSmedia @QldFire @QldAmbulance @QldSES #bigwet #qld,Outsiders,Donations and volunteering,Related - but not informative
295308487565664000,More wet-weather pics. #bigwet #HerveyBay http://t.co/m3OYUj0m,Media,Other Useful Information,Related - but not informative
295313797562892000,Hope our fellow country folk in Queensland are keeping safe after those terrible tornados &amp; flooding. Extreme weather in Aus - go figure.,Outsiders,Sympathy and support,Related - but not informative
295322827891036000,"RT @reeseatomic: to all my QLD friends, PLEASE stay safe. the rest of australia will be thinking of you #bigwet @QLDfloods",Outsiders,Sympathy and support,Related - but not informative
295335389848289000,@ednaqonz are you still snowing? because meanwhile in Australia we are having tornadoes and a lot of flooding,Outsiders,Other Useful Information,Related - but not informative
295348610273513000,RT @mackiemarsellos: Trampoline stuck in the top of power pole. Unbelievable #Bargara #bigwet http://t.co/cCV6LYbD,Eyewitness,Other Useful Information,Related - but not informative
