"item_id","item","label",
"382814146620059648","RT @Senator_Baloch: Balochistan #EarthQuake: Awaran's 95% houses are damaged - 1000+ deaths - Countless Injuries - No Medicines - No Relief…","not informative",
"382814490053451776","RT @Oxfam: Pakistan #earthquake kills hundreds. 7.7 magnitude quake felt across #Pakistan &amp; India http://t.co/5QFMBI4olX","Informative",
"382814158682877952","RT @RT_com: BREAKING UPDATE: Death toll from #Pakistan earthquake rises to over 230 http://t.co/fmytyHEJf4","not informative",
"382814523507621888","Defend #Christian, #Hindu, #Shia, #Ahmadi &amp; #atheist people against persecution in #Pakistan. London protest PHOTOS: http://t.co/octfH2yQMV","Informative",
"382814369425285120","#News China to execute parking-row toddler killer http://t.co/bXIx9Vgiwm #Pakistan","Informative",
"382813437513834497","RT @RizWarraich: A harsh analysis on #Afghan war &amp; its impact on regional security. #Pakistan http://t.co/7UfuLgxRSf @HDNER @halilbilecen @…","Informative",
"382814128102182912","RT @TheJamalAhsan: FINALLY!!! :)
""PM’s approval sought to reopen #YouTube"" http://t.co/j0orx4Xnpn #YouTubeBan #Pakistan","not informative",
"382813620356534272","RT @farah_lodhi: Chairman #PTI @ImranKhanPTI at Lady Reading Hospital to inquire the health of #PeshawarChurchBlast Victims.
#Pakistan","Informative",
"382813848006180864","RT @UmarCheema1: This #EarthQuake has surprised like that of Oct. 2005. Nobody had assessed the scale of casualties in the begining.","not informative",
"382814152969838592","Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/S56MFV2uSV","not informative",
"382814341247938562","RT @QasimalirazaAli: Three trucks relief good r ready to send earthquake affected areas of #Balochistan by #MQM &amp; #KKF today #ReliefByKKF","not informative",
"382814489831555072","hell must be a place much like #NUST 
#Pakistan","not informative",
"382813873679896576","I just hope Malik Riaz doesn't buy the new Island :/
#Pakistan
#Gawadar","Informative",
"382814157248409600","RT @CalamitousOne: #Ameen #Amen Plea to the #Creator #Pakistan #Karachi #Lahore #Islamabad #Quetta #Peshawar #Islam http://t.co/sZs0c6hRpT","not informative",
"382813388503412736","RT @farah_lodhi: Chairman #PTI @ImranKhanPTI at Lady Reading Hospital to inquire the health of #PeshawarChurchBlast Victims.
#Pakistan","not informative",
"382813700375474176","Religious xtremists or liberal fascists?? There dnt cms to b a rational middle path in #pakistan for now !!!","not informative",
"382813719941484544","RT @malicemagic: It takes an #Earthquake to get #Balochistan the attention it has screamed for. The baloch people have been left to fend fo…","Informative",
"382814060326043648","Roundtable on curricula reform starts @JinnahInstitute, Dr. A. H. Nayyar presenting on the Jinnah Inst report. #Pakistan","Informative",
"382814495527038976","Enough is not being done to root out causes of substance abuse in #Pakistan http://t.co/XzvzrLI90m #Addiction #Society #IMCWF","Informative",
"382813530396700672","RT @UNOCHA: #Pakistan earthquake: @UN &amp; humanitarian partners stand ready to support Gov’s ongoing relief effort if requested - http://t.co…","not informative",
"382813467528282112","RT @Oxfam: Pakistan #earthquake kills hundreds. 7.7 magnitude quake felt across #Pakistan &amp; India http://t.co/5QFMBI4olX","Informative",
"382814257760321538","#Pakistan #Earthquake Toll Rises to 210","Informative",
"382814144824479746","Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/O4ByVZyAHx","not informative",
"382814178768990208","RT @ShakingEarth: Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/S…","not informative",
"382814241843343361","#corruptsystem has totaly failed &amp; #Pakistan needs a #change 
#OverThrowCorruptSystem
#risepakistan
#greenrevolution","Informative",
"382813733623300096","#pakistan needs to learn and rectify the mistakes in baochistan! Is Pakistan heading for disaster in Balochistan? http://t.co/Y1VynKJJ11","not informative",
"382814615500902400","My house does the Harlem Shake. #earthquake","Informative",
"382814062704226304","RT @clockend10: shame on #IK for saying this truly #IK is working on the agenda of #Pakistan enemies by supporting #TTP @malikjawad4567 @fu…","Informative",
"382813540366954497","#earthquake M1.1: Southern Alaska http://t.co/dKzq9PvUyO","not informative",
"382814132225191936","RT @aushpaz: MUST: The struggle #Pakistan does not want reported | by @Matthew__Green http://t.co/E2XIwqpkZV v @Senator_Baloch #Balochistan","Informative",
"382813391435206659","RT @SsamanJay: RIP :( ""@ShirazHassan: RIP Sheza Riaz, she was student of Edward College Peshawar. #PeshawarChurchBlasts #Pakistan http://t.…","not informative",
"382813444011204608","RT @RT_com: PHOTO: Earthquake creates new island off #Pakistan's Gwadar coastline, dozens killed http://t.co/fmytyHEJf4 http://t.co/EjhDQGh…","not informative",
"382814179624628224","@imrankhanpti wants Permission 4 Talibans to open offices in #Pakistan NA250 Defence Clifton shud b their Head office @abidifactor #MQM","Informative",
"382814531753639936","RT @CheSindhi: Baloch nation is helpless in Awaran District of occupied #Balochistan, world should help them. #BalochistanEarthQuake","not informative",
"382813652752928768","RT @anumuae: Hahahaha For #PTI Trolls Only #PTI MPA Faisal Zaman's degree declared fake by Supreme Court @nadirlegharipti @AmirKhan_90 #Pak…","Informative",
"382814125673693184","RT @France24_en: Vidéo - #Pakistan : hundreds injured and left homeless in a 7.7 magnitude quake http://t.co/FmQRiLUMpN","not informative",
"382814482314973185","RT @UNOCHA: #Pakistan earthquake: @UN &amp; humanitarian partners stand ready to support Gov’s ongoing relief effort if requested - http://t.co…","Informative",
"382814530809511936","Now Enjoy Scrumptious Cakes In Lahore And Karachi http://t.co/pAYu4TZEoW  #sendgiftstopakistan #gifts #lahore #pakistan #cakesinlahore","Informative",
"382814115276025856","SubhanAllah@harismuhammad90: @saadimakhdoom @NaeemSohaib ; Methane gas discovered in Gwader after #Earthquake , Subhan Allah!","not informative",
"382814450119876608","""@samramuslim: #Pakistan: Man sent into custody for harassing girl on #Facebook [Bravo] http://t.co/RxYKOkfmnv #Pakistan via @ZahraPeer""","Informative",
"382813829719019521","MQM is the only loud and clear party against the so called ""Talks"" with the terrorists and extremists. #Pakistan http://t.co/Y8sp7BK5Gg","Informative",
"382813561875361792","RT @UNOCHA: #Pakistan earthquake: @UN &amp; humanitarian partners stand ready to support Gov’s ongoing relief effort if requested - http://t.co…","Informative",
"382814125899784192","Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/rvukPhkIif","not informative",
"382814060385161216","RT @malicemagic: The new erupted island now named as 'earthquake island' 'zalzala Jazeera' #Balochistan","Informative",
"382814086519869441","RT @DailyObvious: Himalayan Marmot  #Gilgit #Baltistan #Travel #Animals #Pakistan Sir Mustansar H Tarrar called them Lafangay marmot :) htt…","not informative",
"382814074104328192","#Pakistan Earthquake Toll Rises to 210 RT @VOAAsia http://t.co/WIRIWP8KMX","not informative",
"382814190421168128","If @CMShehbaz cannot perform his job he should resign instead of handing over all powers to his son. #PMLN #Pakistan","Informative",
