item_id,item,label
382814146620059648,rt usrId balochistan #earthquake awaran s 95 houses are damaged 100 deaths countless injuries no medicines no relief,not informative
382814490053451776,rt usrId pakistan #earthquake kills httpAddress 7.7 magnitude quake felt across #pakistan amp ; india httpAddress,Informative
382814158682877952,rt usrId breaking update death toll from #pakistan earthquake rises to over DD httpAddress,not informative
382814523507621888,defend #christian #hindu #shia #ahmadi amp ; #atheist people against persecution in httpAddress london protest photos httpAddress,Informative
382814369425285120,#news china to execute parking row toddler killer httpAddress #pakistan,Informative
382813437513834497,rt usrId a harsh analysis on #afghan war amp ; its impact on regional httpAddress #pakistan httpAddress usrId usrId,Informative
382814128102182912,rt usrId finally !! pms approval sought to reopen #youtube httpAddress #youtubeban #pakistan,not informative
382813620356534272,rt usrId chairman #pti usrId at lady reading hospital to inquire the health of #peshawarchurchblast httpAddress,Informative
382813848006180864,rt usrId this #earthquake has surprised like that of httpAddress httpAddress nobody had assessed the scale of casualties in the httpAddress,not informative
382814152969838592,massive #earthquake in #pakistan at least DD #killed and DD #injured many #updates many #video s httpAddress,not informative
382814341247938562,rt usrId three trucks relief good r ready to send earthquake affected areas of #balochistan by #mqm amp ; #kkf today #reliefbykkf,not informative
382814489831555072,hell must be a place much like #nust #pakistan,not informative
382813873679896576,i just hope malik riaz doesn t buy the new island httpAddress,Informative
382814157248409600,rt usrId #ameen #amen plea to the #creator #pakistan #karachi #lahore #islamabad #quetta #peshawar #islam httpAddress,not informative
382813388503412736,rt usrId chairman #pti usrId at lady reading hospital to inquire the health of #peshawarchurchblast httpAddress,not informative
382813700375474176,religious xtremists or liberal fascists ?? there dnt cms to b a rational middle path in #pakistan for now !!,not informative
382813719941484544,rt usrId it takes an #earthquake to get #balochistan the attention it has screamed httpAddress the baloch people have been left to fend fo,Informative
382814060326043648,roundtable on curricula reform starts usrId dr. a . h . nayyar presenting on the jinnah inst httpAddress #pakistan,Informative
382814495527038976,enough is not being done to root out causes of substance abuse in #pakistan httpAddress #addiction #society #imcwf,Informative
382813530396700672,rt usrId #pakistan earthquake usrId amp ; humanitarian partners stand ready to support govs ongoing relief effort if requested httpAddress,not informative
382813467528282112,rt usrId pakistan #earthquake kills httpAddress 7.7 magnitude quake felt across #pakistan amp ; india httpAddress,Informative
382814257760321538,#pakistan #earthquake toll rises to DD,Informative
382814144824479746,massive #earthquake in #pakistan at least DD #killed and DD #injured many #updates many #video s httpAddress,not informative
382814178768990208,rt usrId massive #earthquake in #pakistan at least DD #killed and DD #injured many #updates many #video s httpAddress,not informative
382814241843343361,#corruptsystem has totaly failed amp ; #pakistan needs a #change #overthrowcorruptsystem #risepakistan #greenrevolution,Informative
382813733623300096,#pakistan needs to learn and rectify the mistakes in baochistan ! is pakistan heading for disaster in balochistan ? httpAddress,not informative
382814615500902400,my house does the harlem httpAddress #earthquake,Informative
382814062704226304,rt usrId shame on #ik for saying this truly #ik is working on the agenda of #pakistan enemies by supporting #ttp usrId usrId,Informative
382813540366954497,#earthquake httpAddress southern alaska httpAddress,not informative
382814132225191936,rt usrId must the struggle #pakistan does not want reported by usrId httpAddress v usrId #balochistan,Informative
382813391435206659,rt usrId rip shirazhassan rip sheza riaz she was student of edward college httpAddress #peshawarchurchblasts #pakistan httpAddress,not informative
382813444011204608,rt usrId photo earthquake creates new island off #pakistan s gwadar coastline dozens killed httpAddress httpAddress,not informative
382814179624628224,usrId wants permission D talibans to open offices in #pakistan na250 defence clifton shud b their head office usrId #mqm,Informative
382814531753639936,rt usrId baloch nation is helpless in awaran district of occupied #balochistan world should help httpAddress #balochistanearthquake,not informative
382813652752928768,rt usrId hahahaha for #pti trolls only #pti mpa faisal zaman s degree declared fake by supreme court usrId usrId #pak,Informative
382814125673693184,rt usrId vido #pakistan hundreds injured and left homeless in a 7.7 magnitude quake httpAddress,not informative
382814482314973185,rt usrId #pakistan earthquake usrId amp ; humanitarian partners stand ready to support govs ongoing relief effort if requested httpAddress,Informative
382814530809511936,now enjoy scrumptious cakes in lahore and karachi httpAddress #sendgiftstopakistan #gifts #lahore #pakistan #cakesinlahore,Informative
382814115276025856,subhanallah harismuhammad90 usrId usrId ; methane gas discovered in gwader after #earthquake subhan allah !,not informative
382814450119876608,samramuslim #pakistan man sent into custody for harassing girl on #facebook bravo httpAddress #pakistan via usrId,Informative
382813829719019521,mqm is the only loud and clear party against the so called talks with the terrorists and httpAddress #pakistan httpAddress,Informative
382813561875361792,rt usrId #pakistan earthquake usrId amp ; humanitarian partners stand ready to support govs ongoing relief effort if requested httpAddress,Informative
382814125899784192,massive #earthquake in #pakistan at least DD #killed and DD #injured many #updates many #video s httpAddress,not informative
382814060385161216,rt usrId the new erupted island now named as earthquake island zalzala jazeera #balochistan,Informative
382814086519869441,rt usrId himalayan marmot #gilgit #baltistan #travel #animals #pakistan sir mustansar h tarrar called them lafangay marmot htt,not informative
382814074104328192,#pakistan earthquake toll rises to DD rt usrId httpAddress,not informative
382814190421168128,if usrId cannot perform his job he should resign instead of handing over all powers to his httpAddress #pmln #pakistan,Informative
382813401845485568,rt usrId #pakistan #earthquake leaves hundreds dead homeless httpAddress,not informative
382813466014121984,rt usrId rip shirazhassan rip sheza riaz she was student of edward college httpAddress #peshawarchurchblasts #pakistan httpAddress,not informative
382814286654865408,rt usrId pakistan #earthquake kills httpAddress 7.7 magnitude quake felt across #pakistan amp ; india httpAddress,Informative
382814118056431616,massive #earthquake in #pakistan at least DD #killed and DD #injured many #updates many #video s httpAddress,not informative
382813914796290048,#pakistan #news gwadar island spewing methane experts gwadar following the 7.8 magnitude earthquake which httpAddress httpAddress,Informative
382814134032531456,massive #earthquake in #pakistan at least DD #killed and DD #injured many #updates many #video s httpAddress,Informative
382814141620043776,massive #earthquake in #pakistan at least DD #killed and DD #injured many #updates many #video s httpAddress,not informative
382814365323247617,brp is holding a protest demo in front of un office in geneva against the enforced disappearances amp ; extrajudicial murders in #balochistan,not informative
382813788832940033,rt usrId pakistan #earthquake kills httpAddress 7.7 magnitude quake felt across #pakistan amp ; india httpAddress,Informative
382813932437917696,three trucks relief good r ready to send earthquake affected areas of #balochistan by #mqm amp ; #kkf today #reliefbykkf,Informative
382814164319993856,rt usrId #pakistan money in swiss banks higher than india s #switzerland httpAddress,not informative
382813540413095936,#earthquake httpAddress central california httpAddress,Informative
382814335048773632,thanks you #shareef brothers such a notable growth of #pakistan #karachi #lahore #islamabad #multan #peshawar #pmln httpAddress,Informative
382813532305096705,rt usrId this #earthquake has surprised like that of httpAddress httpAddress nobody had assessed the scale of casualties in the httpAddress,not informative
